Arcane,mid,z3M7AlogcXBnM0wumBTSHt3COpgmj0ejeCK7yiLso9F9rIhKprwATXiC22vooreH208xzxbBGVHGpw,X7YZjM9UFZLjODylLUGzrjSPVo5bm43ocejmQA8gRJiAGBLSZtx9aMcmxesychFHMdSGp3cgjENpWg
Crustypants,support,SDXG9P6MnzYdpgXFZ7YiTXw48uiixns8Ta8Qq-Cxr9CuPJirBoR8OMYanWuL7jRKQ2vw-JIjWXkKuA
CrimsonCyclist,support,UG7z8C2ZLFz1PSxL9s7x1GM5BkYIqbQiyXLu_puoLnol3HKvFEeCBfP2vSlB3B3dLft5EkaP5sCqIQ,SRBSCrnJ9dZqbiQbH9jvSeT8GmWfk_Zr2_JAauwT2_67VeMRnHTb5Pm22P9Ev87OmvRtIbyj9rClwQ
andycap,jungle,whBzFqoQ9wqJ53Af4s2aQIKGRd1gxQ0ZAT0zcnV_PZUlUGWOkR1pXSbRL07HuNNm9s3GSfFTDgR5SA
Hai,bot,8B1IZrhvv-o0OocPtfYaNhlAQk51yC04D2hLdNd78ZRri6NwKmmEH2CLLAQ9AqH9LNlQHTpMsvTAtQ
Anomaly,mid,gUb63shJkx8XXlkPonmF1a358B9VCwutaRXyDpKjBgwTkUmW1Wp2PefEz9Yx8gHpWLlz-4JYyQa-lw,g6yrDUdmmIzg1JktSg1rKDC_kgwc02hLoRb3KL_FtDe3LQ1iVGlybQa5yfW2J2CKpZZwx0c5Ma5PPQ,8tkIN3mY8FXkE0A26AM2pRka77vTayn_ryGZYvzOb_syAS2CoG6zoSVjo7Cv93QHoKnJalTOlyRTOA
bgscurtis,support,AJYYlkQ3DOGGI9AtNsBEBFcrvGk5xVF1lTA0gOU8HhWCwyS8vFjuYcRhv7JSJHto47yI3DVctfLtQg
Lusch,jungle,leHiwVI5FvsaxaF__ghSJ1CiNsp2mcFK3XlZnea8iuBxVp8neLtHEgTpIiZb1ZcO7dn9JcCRHkI7WQ
Hawkens,mid,LgO1clZERxIFtHxxye3__mdWjRsx_L76F-C3gh8dl2HwbP_CJyTxg1Z52RIpPg31BgS5CSMSTCCVaQ
Arkali,mid,Wl3SkY1lqJNgR7TlnmfFUoOdUt4tVIlxhEmshuCjN7URSTmjqUW2kuNcq_8PWW2uphLZ0YuGTcczIw
Gulag,jungle,DvBlBV6xrxjedRnJOCGDZxfzf21spyH_Ccx3rDFwuqeHbt_y4BmHCyaX9H6mO2OLE-S_xvs8ySnVLQ
Wieler,mid,SzSJwvHXQpatQTle3BtOgtu0jNVtlpSb9U3uFLUVLz4JNw_CF_wJV-BLkl_Aq-h3gqG53o1EPy2haw
MadaMars,top,1gHmQLy3UCUIc_dHsxsW8t0lOLoJicTS3JEDJD6bRWJPS4antt8jS6vQXVlt2tCVz8gKEY0VVGyxGg
